restaurant,burger,toppings,description,address,hours,JB_special,JBL_special,minors,takeout,delivery,purchase_limit,meat_veggie,gluten_free,veggie,vegan,NA
Rocky's Sports & Spirits,The South Paw,"100% ground chuck beef burger seasoned with Rocky's Signature Seasoning, jalapeño cream cheese, crunchy island cole slaw, sweet and tangy homemade BBQ sauce, super thick lean pork ends, all stacked on a pub bun","This ""southern bad boy"" will KNOCK OUT your tastebuds with one bite! Starting with a fresh seasoned all beef patty, layered with a smooth, zesty jalapeño cream cheese, stacked with a fresh, crunchy island slaw, sweet and tangy Carrie's house-made BBQ sauce, and topped with lean and savory pork ends. ","7610 SE 72ND Ave, Portland, OR",Daily 12 pm–10 pm,"Jim Beam and Jim Beam Black shot for $6, beer and a Jim shot for $10, and Jim Beam mint julep for $7","No, only Jim with one of our Beers on tap for $10",No,No,No,No,Meat,Yes,No,No,NA
Round Here Bar,Scarface,"Two 2.5 oz beef and chorizo sliders served on King's Hawaiian rolls with pickles, garlic aioli, ketchup, Cubano Rojo sauce, and topped with fried potato sticks","Say hello to my little friends. Two amazing chorizo/beef sliders, pickles, garlic aioli, a rich Cubano Rojo sauce served on King’s Hawaiian rolls. The potato sticks on top create the right amount of crunch. Every day above ground is a good day.","612 NW 21st Ave, Portland, OR",Daily 4 pm–midnight,Jim Beam Black,No,No,Yes,No,No,Meat,No,No,No,NA
Roux Boi,Greens 'n' Things Bacon Cheeseburger ,"Brioche bun with mayo and jerk sauce, ground beef patty, collard greens, bacon, onions, and yellow peppers, topped with cheese ",This is inspired by our jerk chicken sandwich! ,"2349 SE Ankney St, Portland, OR",Tuesday–Friday 12–8 pm,No,No,Yes,Yes,"Yes, on DoorDash and Grubhub",No,Meat,No,No,No,NA
Salvador Molly's,Tamarindo!,"Beef, tamarind BBQ sauce, and pickles","All beef patty with slightly spicy tamarindo BBQ sauce, beer battered fried pickles, on a local baked pub bun. ","1523 SW Sunset Blvd, Portland, OR","Tuesday–Thursday 11:30 am–9 pm, Friday–Saturday 11:30 am–10 pm",Jim Beam bourbon cocktail $10.00,No,Yes,No,No,No,Meat,"Maybe, you can get it without the bun and pickles.",No,No,NA
Salvi PDX,Pupusa Burger,"Two Salvadoran cheese, bell pepper and loroco pupusas (loroco is a wild flower that grows in El Salvador that we bring over here to Portland), Salvi beef patty, jalapeños, curtido (Salvi pickled slaw), and salsa roja. 100% gluten-free","One of a kind amazing, you’ve never had anything like this. Salvi PDX is taking El Salvador and mixing it will a little bit of the Rose City! ","2030 SE Seventh Ave, Portland, OR","Wednesday–Thursday 2–8 pm Friday–Saturday 2–9 pm, Sunday 2–8 pm",No,No,Yes,Yes,No,Yes,Meat,Yes,Yes,Yes,NA
Slow Bar,Bacon Confrontation,"Quarter pound all beef patty, melted white cheddar, caramelized red onion and bacon jam, bacon aioli, and iceberg lettuce on a rustic bun",Multi-dimensional salt-cured and smoked sensations. Assertive notes of tangy umami with bright garden crunch accent mastication of bovine texture and sowbelly emulsification coalesce to a cultivated dining experience.,"533 SE Grand Ave, Portland, OR",Daily 11:30 am –11 pm,Surprise,Yes,No,No,No,No,Meat,No,No,No,NA
Speed-o Cappuccino,The Bakon Bitch,"House-seasoned Beyond patty, Thrilling Foods Bakon, grilled onions, vegan cheddar, iceberg lettuce, and house-made fry sauce on a Franz bun…100% plant-based tastiness ",We have spent the year perfecting our vegan smash burgers so that our guests can have the most delicious burger every time they visit us!,"1015 SE Stark St, Portland, OR","Tuesday–Thursday 12–8 pm, Friday–Saturday 12–9 pm, Sunday 12–5 pm ","Jim Bean classic, $10–$12 cocktail","Unsure, will do shot and Fracture Brewing beer",Yes,Yes,No,No,Vegan,No,Yes,Yes,NA
Spoke & Fork,Pimento Bacon Cheeseburger,"Northwest grass fed beef, pimento cheese, bacon, plum fig and cherry chutney, arugula, tomato, pub bun",Chef has created a special burger using Three Little Fig's chutney and house-made pimento cheese. It's a sweet and savory treat that's sure to delight your taste buds. Come in today and try it for yourself during Portland Burger Week!,"375 NE Holladay St, Portland, OR","Monday–Wednesday 5–11 pm, Thursday–Saturday 5 pm–midnight, Sunday 5–11 pm",Knob Creek - 9yr @ $14 for a 2 oz pour,No,"Yes, but please note that minors are not able to sit at our bar, however they can place an order with one of our staff and enjoy the burger in our lobby seating.",Yes,No,No,Meat,Yes,No,No,NA
Star Bar,Divine Intervention,"100% Angus beef, house-made truffled Nutella, melted brie, fig and bacon aioli, arugula, Dos Hermanos potato bun","These savory and sweet flavors end up being pretty sloppy and sexy together. They are the perfect one-night stand. Combined, each bite will take you beyond what you'd thought possible from a burger, leaving you out of breath but wanting more. ","639 SE Morrison St, Portland, OR",Daily 4 pm– 2 am,Makers or Hornitos,We will feature a Jim Beam product shot special,No,No,No,Yes,Meat,No,No,"No, but we have a separate Burger Week vegan burger",NA
Steakadelphia,Spinach Burger,"Swiss cheese, spinach, tomatoes, pickles, onions, mayo, ketchup, and mustard",Steakadelphia’s handmade burgers are always seasoned to perfection on a sweet burger bun,"5835 SE Powell Blvd, Portland, OR",Monday–Saturday 11 am–8 pm,No,Laurelwood “The Wood” Lager - $4.50,Yes,Yes,"Yes, on DoorDash, Grubhub, and UberEats",No,Meat,No,No,No,NA
Steeplejack Pizza and Beer,Hatch Chile Burger,"Roasted hatch chiles, raspberry ketchup, Monterey Jack cheese","We've got the spice, the raspberry ketchup to balance it, and a hatch chile beer releasing that our Pink Boots intern, Gillian, has brought to life. ","4439 SW Beaverton Hillsdale Hwy, OR",Daily 3–9 pm,Devil's Cut - $9 cocktails / $8 shots,Beam shot - $8 (no beer pairing with Laurelwood),Yes,No,No,Yes,Meat,No,No,No,NA
Sweet Home Bar & Grill,Chili Jam Burger,"Local beef patty, cheddar cheese, house-made chili jam, and aioli on a sesame bun with pickles, tomatoes, lettuce, and onion.","Our chef loves the flavor combo of sweet and spicy, and wanted to share that love with you through his own original version of chili jam! ","2824 N Lombard St, Portland, OR","Monday–Wednesday 2–9 pm, Thursday–Saturday 2–11 pm, Sunday 2–9 pm",Jim Beam-$6,No,No,Yes,No,No,Meat,No,No,No,NA
Taylor Street Tavern,Fondue and Shroom Burger,"Grilled burger topped with caramelized onions, mushrooms, Swiss fondue, pickles, and jalapeños.","We put our unique spin on this classic combo. This burger is crafted to hit sweet, spicy, tangy, and savory notes. Our Swiss fondue ties the whole dish together and leaves your mouth watering!","808 SW Taylor St, Portland, OR","Monday 7 am–10 am, 11 am–2 pm, Tuesday–Friday 7 am–10 am, 11am-2pm, 5–9 pm, Saturday 9 am–2 pm, 5–9 pm, Sunday 9 am–2 pm",Unknown,Unknown,Yes,Yes,No,No,Meat,No,No,No,NA
The Tavern at Heathman,Pig and Pimento Double Smash,"A half-pound smash burger topped with pimento cheese, house-cured bacon, both grilled and pickled onions, and dijonaise.","A double smash burger topped with house-cured bacon, two types of onions, AND the world's tastiest spreadable cheese? Pimento-no-they-didn't! Pimento-yes-they-did.","1001 SW Broadway, Portland, OR","Monday–Wednesday 11 am–2 pm, 4–9 pm, Thursday–Saturday 11 am–2 pm, 4–11 pm, Sunday 11 am–2 pm, 4–9 pm",No,No,Yes,Yes,No,No,Meat,"Maybe, lettuce wrap available, but no gluten-free bun",No,No,NA
Three Mermaids Public House,Brie Be Jammin'!,"Hand-formed ground beef patty, brie, bacon jam, garlic aioli, lettuce, on a brioche bun","We hand form our patties and make our sauces and jams from scratch! We love a savory sweet combo and the brie, bacon jam combo is delicious!","18041 SW Lower Boones Ferry Rd #1B, Tigard, OR","Monday–Saturday 11 am–10 pm, Sunday 12–9 pm ",No,No,"Yes, until 9 pm",No,No,"Yes, two per person",Meat,No,No,No,NA
Toast,The Giambrone ,"Oregon country beef, spicy capicola, Roma tomato, lettuce, poached garlic Italian parsley spread, basil, ricotta, fried egg",Reminds me of the garden ,"5222 SE 52nd Ave, Portland, OR","Monday 8 am–1:45 pm, Wednesday–Sunday 8 am–1:45 pm",Jim Beam ginger lemonade $8.00,Beam shot $6.00,Yes,No,No,Yes,Meat,No,No,No,NA
Todo,Alebrijes Burger,"A 6 oz patty grilled and topped with Colby Jack cheese, house roasted poblano peppers, house cabbage slaw, thinly sliced red onions, and beefsteak tomato. All served in a pub bun slathered with our jalapeño/árbol mayo.","Albrijes are the mythical creatures of Oaxaca guarding against evil. We all need a guardian in our court. Eating one of our burgers will give you the fortitude and spice (not too much, promise) to go out and face the evil spirits.","1935 SE Hawthorne Blvd, Portland, OR","Monday–Thursday 5–9 pm, Friday–Saturday 4–10 pm, Sunday 5–9 pm",Cruzan Rum,No,Yes,No,No,Yes,Meat,No,Maybe,No,NA
Triple Nickel,Cowgirlnboy Burger,House-made beef patty smothered in homemade sweet and zesty Jim Beam baked beans served on a pub bun.,"MORE COW BELL! It's grub time! Inspired by Jim Beam whiskey, because every cowboy/cowgirl loves a lil Jim with their meat and beans! Our rich, hearty combo of Jim Bean reduced baked beans with bacon, brown sugar, sauteed onions, and secret ingredients will have you licking your chops and your neighbors too, should they consent.... BUT, they won't! Y'all will be wantin' more! Come git it! GIDDYUP!!! ","3646 SE Belmont St, Portland, OR",Daily 11–2 am,Jim Beam sour,No,No,No,No,No,Meat,Yes,No,No,NA
Von Ebert Brewing,Smoky Pimento BBQ Burger,"Smoked burger patty topped with caramelized onion BBQ sauce, pimento cheese spread, and crispy onions ","Our Burger Week recipe was inspired by summertime cookouts, team collaboration, the love of smoked meats, and brought together with a crisp light lager from the Von Ebert Brewing team! All of this was created and brewed with you in mind.","131 NW 13th Ave, Portland, OR",Daily 11:30 am–9 pm,We always carry Jim Beam in our bar at a very low price!,No,Yes,No,No,No,Meat,No,No,No,NA
Von Ebert Brewing,Smoky Pimento BBQ Burger,"Smoked burger patty topped with caramelized onion BBQ sauce, pimento cheese spread, and crispy onions ","Our Burger Week recipe was inspired by summertime cookouts, team collaboration, the love of smoked meats, and brought together with a crisp light lager from the Von Ebert Brewing team! All of this was created and brewed with you in mind.","14021 NE Glisan St, Portland, OR",Daily 11:30 am–9 pm,We always carry Jim Beam in our bar at a very low price!,No,Yes,No,No,No,Meat,No,No,No,NA
Wine & Growl,Lamb and Chèvre Burger,"Local lamb patty, port wine pickled onions, goat cheese mayo, and arugula, on an Oyatsupan butter bun",We wanted to showcase a burger that is less commonly seen on menus and utilizes lamb from a fantastic local farm!,"8108 SW Beaverton Hillsdale Hwy, OR",Tuesday–Saturday 4–9 pm ,Suntory Whiskey ,No,Yes,No,Maybe ,No,Meat,Yes,No,No,NA
Wolf's Head Portland,Creamed Corn Elote Burger,"Elote creamed corn, Tajín, Hot Cheetos",A Midwest take on a classic side perfect on top of a burger! ,"80 SE Madison St Suite 100, Portland, OR",Monday–Friday 10:30 am–6 pm,No,No,Yes,Yes,Yes,No,Meat,No,No,No,NA
Wolf's Head Smokehouse,Jalapeño Popper Burger,"Herbed cream cheese, jalapeño bacon jam","Spicy, savory, creamy, bacony goodness! Inspired by the bar snack classic!","4250 SW Rose Biggi Ave, Beaverton, OR",Wednesday–Sunday 11 am–7 pm,No,No,Yes,Yes,No,No,Meat,No,No,No,NA
Ya Hala,Za'atar Beef Burger,"Za'atar-spiced beef, zesty tzatziki sauce, grilled onions, tomato, lettuce, on a brioche bun","Unveiling our Za'atar-Spiced Beef Burger: juicy seared beef infused with Lebanese za'atar, nestled in a buttery brioche bun. Topped with cool tzatziki, spiced grilled onions, juicy tomato, and crisp lettuce for a harmonious blend of flavors and textures. Travel via taste buds.","8005 SE Stark St, Portland, OR",Daily 12–8 pm ,No,No,Yes,Yes,"Yes, delivery available when ordering from our website: www.yahalarestaurant.com",No,Meat,"Maybe, sans bun",No,No,NA
Yard Bar - Traveling Taphouse - Lulu's Kitchen,Chorizo Beef Burger ,"Butter-toasted pub bun with chorizo, beef, avocado crema, slaw mix, and cheese sauce ","Custom blended chorizo and beef patty to tantalize your tongue, on top of house made avocado crema slaw mix finished with Pepper Jack, cheddar, and Monterey cheese sauce ","4058 N Mississippi Ave, Portland, OR","Monday–Thursday 5–10 pm, Friday–Saturday 5 pm–midnight, Sunday 5–10 pm",Beam whiskey sour ,$15,Yes,"Yes, $1.50 to-go fee",No,No,Meat,No,No,No,NA
