restaurant,burger,toppings,description,address_hours,JB_special,minors,takeout,delivery,purchase_limit,meat_veggie,gluten_free,veggie,vegan
River Pig Saloon,Sweet Inferno,"Beef patty, grilled shaved onion, grilled pineapple, Canadian bacon, chipotle habanero cheese sauce, burger bun","It's a little sweet and a little spicy, just like your time at River Pig Saloon!","529 NW 13th Ave / Monday-Thursday 2pm-1am, Friday 12pm-2am, Saturday 9am-2am, Sunday 9am-1am",Old Crow Shot Special - $6,? No,? No,? No,? No,? Meat,"? Yes, +$2 for a gluten free bun",? No,? No
Rocky's Sports & Spirits,The Balboa Burger,It's A Philly Cheese Sirloin Steak On A Burger With A ton of Beer Cheese Sauce!,"""The Champ Is Back For Round 2!"" Ready to Knock Out Your Taste Buds! The Balboa Burger is Your Contender. This 100% Ground Beef Burger Seasoned with Herbs &Spices, is Topped with sliced Savory Sirloin STEAK, Caramelized Onions and Peppers, Rocky's Signature Beer Cheese Sauce, All Layered on a Toasted Fresh Pub Roll with our Summer Mayo/Mustard Dressing. And with a Added Bonus, We are topping this Bad Boy with Our Legendary Coney Sauce: A Sweet & Spicy Meat Sauce.",7610 SE 72nd Ave / Monday-Saturday 12-8:00pm,Jim Beam & Jim Beam Black shots for $6. Shot & a Micro Draft Beer for $10. Shot & a Domestic Beer for $9.,? No,? No,? No,? No,? Meat,"? Yes, without the bun",? No,? No
Sad Valley,The Faith Healer,"Local beef patty from Fulton Provision Co., pepper bacon, pepper jack cheese, house-made crispy onion strings, garlic aioli, & habanero barbecue on an egg-wash brioche bun from Dos Hermanos Bakery.","Inspired by the false promises of late night menus that came before, lay your hands on the Faith Healer —a crispy, spicy, savory delight. Guaranteed to burn the devil of hunger out of you and nurture the good spirits within and without.","832 N Killingsworth St / Monday-Thursday 2pm-1am, Friday 1pm-2am, Saturday-Sunday 12pm-2am",Suntory Toki Whisky $11,? No,? Yes,? No,? No,? Meat,? Yes,? Yes,? No
Salvador Molly's,Chimi S’more,"All beef burger, grilled peppers and onions, mozzarella cheese, our house made chimichurri topped with arugula on a brioche bun.",NA,"1523 SW Sunset Blvd / Tuesday-Thursday 11:30am-9pm, Friday-Saturday 11:30am-10:00pm, Sunday 11:00am-9pm",Bourbon/Pabst-$8,? Yes,? No,? No,? No,? Meat,? Yes,? No,? No
Sandy-O's,Jalapeno Popper Burger,"House Ground Beef, Roasted Jalapeños, Cream Cheese, Tortilla Chips, Onions, Sauce, On a Franz Bun",All the Joy of a Popper on a Burger,10505 NE Sandy Blvd / Monday-Sunday 10am-8pm,,? Yes,? Yes,? Yes,? No,? Meat,? No,? No,? No
Slow Bar,Big Island Burger,"Beef, SPAM, Pineapple, Havarti, Furikaki Jalapeno Slaw, Sweet Bun",Big Island Burger is a crossroads of many cultures with deep culinary traditions. We take all that and slap it on a burger with processed canned meat.,533 SE Grand Ave / Monday-Sunday 11:30am-12am,Maitai,No,Yes,No,2 per person per visit,Meat,No,No,No
Solo Club,Poblano Picasso Sliders,"Two Wagyu beef sliders with roasted poblano, crispy shallots, pepper jack cheese, and garlic aioli.",These Wagyu sliders are designed to pair with our wonderful cocktail program! Grab a plate and a cup and enjoy!,"2110 NW Raleigh St / Monday-Thursday 4-11pm, Friday 4pm-1am, Saturday 2pm-1am, Sunday 2-11pm",Jim Beam Ginger Whiskey Sour - $15,No,Yes,No,No,Meat,No,No,No
Speed-o Cappuccino,Poblano Jammin',"Grilled Poblano, Jalapeño Tomato Jam, Cheddar Cheese, Beef & Bun","This creation draws inspiration from the rich culinary heritage of Mexico; where tomatoes, poblanos and jalapeños have been cultivated for centuries. We've crafted this burger to celebrate these vibrant flavors, while also showcasing the best local produce Portland has to offer. The Poblano Jammin' burger features mild poblano peppers that bring a gentle heat, perfectly balanced with our sweet and savory tomato jam. Each bite offers a delicious blend of smoky, tangy, and slightly sweet notes, creating a flavor experience that's both comforting and exciting!","1015 SE Stark St / Tuesday-Thursday 12-8pm, Friday-Saturday 12-9pm, Sunday 12-6 pm",NA,Yes,Yes,No,No,Vegan,No,NA,NA
Spoke & Fork,Bridgetown BBQ Bacon Bleu Burger,"Quarter pound beef patty, blue cheese fondue, smoked mushrooms, house cured pork belly lardon, house mustard pickles, and brioche bun",Our recipe will provide classic flavor combinations with elevated techniques to enhance everyone's burger week experience.,"275 NE Holladay St / Monday-Wednesday 5-11pm, Thursday-Saturday 5-12am, Sunday 5-11pm",NA,? Yes,? No,? No,? No,? Meat,? No,? No,? No
Star Bar,Dario Argento,"Seasoned Beef, Salami, Pesto, Sun Dried Tomato Jam, and Fresh Arugula","Named after one of the greatest Italian film directors of all time, this burger comes complete with the vivid colors, perfect texture, and amazing flavors one would expect of something named after Dario Argento.","639 SE Morrison St / Monday-Thursday 5pm-1am, Friday-Saturday 5pm-2:30am, Sunday 5pm-1am",$8 Makers Mark or Hornitos,? No,? No,? No,? No,? Meat,? No,NA,? $1 to sub vegan
Steakadelphia,Franklin Burger,"Created to be the Opposite of a Smashed Burger. Big, plump & juicy handmade burger with tomato, lettuce, grilled onions and Steakadelphia’s new secret burger spread.",Restaurants don’t make burgers like a Franklin Burger anymore.,"5835 SE Powell Blvd / Monday-Saturday 11am-8pm, Sunday Closed",NA,? Yes,? Yes,"? Yes, Doordash, UberEats",? No,? Meat,? No,? No,? No
Steeplejack Brewing Co.,Brawlin’ Out,"The Brawlin’ Out is a classic beef burger patty with Monterey Jack cheese, caramelized onions, Tajin aioli, and pickled jalapeños.","This burger dreams of a date with a crisp lager. It has a slight kick from the jalapeños and Tajin, a perfect complement to the creamy cheese and onions. This was our entry in the 2024 PDX Beer Week Burger Brawl, and it’s so tasty we had to bring it back!","2400 NE Broadway / Monday-Saturday 11am-10pm, Sunday 11am-9pm",,? Yes,? No,? No,? No,? Meat,? No,"? Yes, $2 for Beyond Burger patty",? No
Steeplejack Pizza and Beer,Everyone’s Invited!,"Beef burger patty with fried kale, whipped bleu cheese, avocado mash, IPA mustard and pickled red onions.","Like the name says, this burger is a rainbow of colors and textures. It’s creamy, tangy, and even a little virtuous with three (!) vegetables! Pair it with an IPA to complement the mustard, or stick with its theme and try a flight.","4439 SW Beaverton Hillsdale Hwy / Monday-Friday 3-9pm, Saturday-Sunday 12-9pm",,? Yes,? No,? No,? No,? Meat,? No,? No,? No
SuperDeluxe,PDX Cheesesteak Burger,NA,"Inspired by our favorite Philly comfort food, our cheesesteak packs a delicious single patty, topped with grilled peppers and onions, smothered with sharp cheddar cheese sauce and the perfect dab of horseradish cream sauce, all served on a toasted bun. Comes with an order of our famous crinkle cut fries.","5000 SE Powell Blvd / Monday-Wednesday 8am-10pm, Thursday-Saturday 8am-11pm, Sunday 8am-10pm",NA,? Yes,? Yes,? Yes,? No,? Meat,"? Yes, gluten free bun + $1",? No,? No
Sweet Home Bar & Grill,Lost in the Sauce,"Oregon Beef patty, with Tillamook White American Cheese, and Bacon Chili Jam, on a Oyatsupan Bakery Bun","Who doesn't love a good burger sauce. We created our bacon chili jam to complement the burger with a lite spice, bacon flavor and slightly sweet profile to help give one delicious combo!",2824 N Lombard / Monday-Sunday 2-8pm,NA,No,No,No,No,Meat,No,No,No
Taylor Street Tavern,Queso Quemado Burger,"Chorizo blend smash patty, grilled poblano pepper, seared queso fresco, red onion, and cilantro créma.",NA,"808 SW Taylor St / Monday 11am-2pm, Tuesday-Friday 11am-2pm & 5-9pm, Saturday 9am-2pm & 5pm-9pm, Sunday 9am-2pm",,? Yes,? Yes,? No,? No,? Meat,? No,? No,? No
The Hostel Cafe,Cowboy Killer,"Smoked cheddar cheese, zesty garlic horseradish aioli, crispy fried onions, tomato, and lettuce, served on a buttered toasted brioche bun.","This burger is for people who love flavor and balance! Our horseradish aioli kicks, but doesn’t overpower the palate. Smoky cheddar mellows out the vibe, and house-made fried onions make every bite crispy.",1810 NW Glisan St / Daily 11am-11pm,NA,? Yes,? No,? No,? No,? Meat,? Yes,? Yes,? Yes
The Secret Pizza Society,Princess Shenanigan,"Pickled Onion & Mushroom Relish on a Homemade Bun with Arugula and Drizzled with 1,000 Island dressing and we're NOT using IMPOSSIBLE or BEYOND patties",It's not BEYOND IMPOSSIBLE (it's housemade) To IMAGINE (lennon ref) a good ol' fashioned Pizza Shop (secret pizza society) making a good ol' fashioned Burger (princess shenanigan) That we know to be Bangarang (mrs. doubtfire) We used to make this one at Papa G's (r.i.p) And we're pretty sure it will rip your heart right out of your chest...like Indiana Jones (temple of doom),"7201 NE Glisan St / Monday-Thursday 11am-9pm, Friday 11am-10pm, Saturday 1-10pm, Sunday 1-9pm",NA,? Yes,? Yes,? No,? Within reason or common sense,? Vegan,? No,NA,NA
The Social Spoon,El Guapo,"All Beef Patty, Fajitas, Black Bean Macha, Queso Oaxaca, Lettuce, Tomatoes, Flour Tortilla","From Taco Bell fever dreams, to beer filled afternoons our inspiration for this absolute snack is just good ol' fun and yum!",550 SW Oak St / Tuesday-Saturday 4-10pm,Jim Beam,? Yes,? Yes,? Yes,? No,? Meat,"? Yes, between corn tortillas. No surcharge.","? Yes, +$1.50",? No
The Tavern at Heathman,Uncle Andy's Mushroom Swiss Smash,"Smashburger patty, swiss cheese, roasted mushroom, bacon and gouda schmear, on a brioche bun.",NA,"1001 SW Broadway / Monday-Wednesday 4-8pm, Thursday-Saturday 4-10pm, Sunday 4-8pm","Jim Beam Black Extra Aged Old fashioned, $6",? Yes,? Yes,? No,? No,? Meat,"? Yes, $2 for gluten free bread",? No,? No
Three Mermaids Public House,Cubano-Adjacent Burger,"Hand-formed 5 oz. patty of ground beef and house-smoked pork, with Swiss cheese, pickles garlic aioli, Dijon aioli, shaved red onion, lettuce, on a brioche bun.","We wanted to do something really cool this year, so we took our delicious house-smoked pork, chopped it up and mixed it with our tasty ground beef, forming a 5oz patty. While experimenting and adding the Dijon aioli and pickles, we noticed this burger kind of tastes like our Cubano sandwich! So we added some Swiss, along with a garlic aioli to add a little creaminess, along with some thinly shaved red onion and lettuce. Yum!!","18041 SW Lower Boones Ferry Rd Suite 1B, Tigard / Monday-Wednesday 11am-9pm, Thursday-Saturday 11am-10pm, Sunday 11am-9pm",NA,Minors allowed until 9pm,No,No,No,Meat,No,No,No
Veggie Grill by Next Level,Truffle Honey Chik'n Burger,"Crispy chik'n, white truffle vegan honey, smoky tempeh bacon, organic lettuce, ripe red jalapeno mayo on a brioche bun. $11.50 640 calories | 34g protein (contains: soy, wheat, coconut)","Our fans went crazy for our Truffle Honey Chik'n Sandwich this Spring, so we're bringing it BACK as a burger at the Portland Burger Week price, exclusively for Portland Burger Week!","508 SW Taylor St AND 3435 SW Cedar Hills Blvd #D, Beaverton / Downtown Portland: Monday-Saturday 11am-9pm, Sunday 11am-8 pm, Beaverton: Daily 11am-9pm",NA,Yes,Yes,We will offer the Portland Burger Week price via our native app,No,Vegan,No,NA,NA
Virtuous Pie,Knot A Burger,"Beet and quinoa vegan burger patty topped with Vtopian aged white cheddar, black garlic cheese spread, pimento peppers and a charred onion mayo between a giant garlic knot bun.","An earthy, savory vegan burger that satisfies all the wants of a juicy burger but without the meat! We wanted to show how many amazing flavors can be found in the creativity of vegan food. Plus, who doesn't love a giant stuffed garlic knot?","1126 SE Division St. #200 / Monday-Thursday 12-9pm, Friday-Saturday 12-10pm, Sunday 12-9pm","Jim Beam cocktail, $15",? Yes,? No,? No,? 3 per person,? Vegan,? No,NA,NA
Von Ebert East,Smoke House Burger,"House smoked beef, smoked gouda, smothered in caramelized onion and drizzled with our tangy house BBQ",Going back to our roots of tasty smoked things!,14021 NE Glisan St / Daily 11:30AM-9PM,NA,? Yes,? Yes,? No,? No,? Meat,"? Yes, for an additional $2","? Yes, for an additional $4",? No
Warsugai,The Bulgogi Burger,"Bulgogi sauce glazed Oregon beef, spicy cucumber pickles, American cheese and kimchi mayo on a potato roll.","Our burger was inspired by our classic bulgogi marinade. Our beef will be glazed with this delicious blend of tamari, garlic, ginger and sesame oil. Then topped with American cheese and spicy cucumber pickles.",727 SE Washington / Monday-Sunday 12-9pmJim Beam Drink Special: Boilermaker for $9 with a shot of Jim Beam Bourbon and a pint of Occidental Kolsch,NA,? Yes,? Yes,? No,? No,? Meat,? No,? No,? No
Wolf's Head Portland,Crab Rangoon Burger,"4 oz beef burger patty, Franz bakery bun, American cheese, Crab Rangoon filling (kani krab, cream cheese, mayo, scallions, soy sauce), Pineapple sweet & sour sauce, fried wontons. May contain shellfish.","Our single patty smashburger topped with a dollop of Crab Rangoon filling, fried wontons, and pineapple sweet & sour sauce!","80 SE Madison st / Monday-Thursday 11am-6pm, Friday 11am-8pm, Saturday 11am-6pm",NA,? Yes,? Yes,? No,? No,? Meat,? No,? No,? No
Wow Cow,Kalbi Kimchi Corn Cheese Burger,"Kalbi marinated burger patty with melted American cheese grilled sweet corn and kimchi topped with crispy onions, zesty garlic aioli and wow sauce!",All burgers and korean bbq made with a secret 100 year old marinade recipe passed down generations.,"9100 SW Burnham st, Tigard / Tuesday-Sunday 11am-7:30pm",NA,? Yes,? Yes,? No,? No,? Meat,? No,"? Yes, +$1","? Yes, +$1"
XLB,Burger Bao,"a beef & pork patty with caramelized onions and american cheese, wrapped in our bao dough, pan fried then served with our house made burger sauce",NA,4090 N Williams Ave / Daily 11am-3pm and 5-10pm,NA,Yes,Yes,"Yes, through DoorDash & UberEats",No,Meat,No,No,No
Ya Hala,Basturma Burger,"Basturma-spiced beef patty, tzatziki, tomato, lettuce, pickles, brioche bun","Basturma is a highly seasoned beef that originates from Lebanon and Armenia. This classic spice blend meets a beef patty, rich tzatziki, tomato, crisp lettuce, all on a brioche bun. We promise you have never tasted anything like it!",8005 SE Stark St / Daily 11:30am-9:00pm,NA,Yes,Yes,Yes,No,Meat,No,No,No
Yard Bar - Traveling Taphouse - Lulu's Kitchen,Carnitas Burger,"Carnitas burger patty slow cooked to perfection. On a toasted bun with chipotle crema spread, crunchy avocado slaw top with Mexican blend cheese and Pico de Gallo",NA,"4058 N Mississippi Ave / Monday-Thursday 5-10pm, Friday-Saturday 5pm-12am, Sunday 5pm-10pm",Hornitos Margarita,Yes,$1 For Togo Containers,No,No,Meat,No,No,No
